company_name,ticker,sector,sub_industry
10x Genomics,TXG,Health Care,Health Care Technology
3M,MMM,Industrials,Industrial Conglomerates
A. O. Smith,AOS,Industrials,Building Products
AAON,AAON,Industrials,Building Products
Abbott Laboratories,ABT,Health Care,Health Care Equipment
AbbVie,ABBV,Health Care,Pharmaceuticals
Acadia Healthcare,ACHC,Health Care,Health Care Facilities
Accenture,ACN,Information Technology,IT Consulting & Other Services
Acuity Brands,AYI,Industrials,Electrical Components & Equipment
Adobe Inc.,ADBE,Information Technology,Application Software
ADT Inc.,ADT,Consumer Discretionary,unknown
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
Advanced Drainage Systems,WMS,Industrials,unknown
Advanced Micro Devices,AMD,Information Technology,Semiconductors
AECOM,ACM,Industrials,Construction & Engineering
AES Corporation,AES,Utilities,Independent Power Producers & Energy Traders
Affiliated Managers Group,AMG,Financials,Asset Management & Custody Banks
Affirm Holdings,AFRM,Information Technology,unknown
Aflac,AFL,Financials,Life & Health Insurance
AGCO,AGCO,Industrials,Agricultural & Farm Machinery
Agilent Technologies,A,Health Care,Health Care Equipment
Agree Realty,ADC,Real Estate,unknown
AGNC Investment,AGNC,Financials,unknown
Air Lease Corporation,AL,Industrials,unknown
Air Products,APD,Materials,Industrial Gases
Airbnb,ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise lines"
Akamai Technologies,AKAM,Information Technology,Internet Services & Infrastructure
Alaska Air Group,ALK,Industrials,Passenger Airlines
Albemarle Corporation,ALB,Materials,Specialty Chemicals
Albertsons,ACI,Consumer Staples,Food Retail
Alcoa,AA,Materials,Aluminum
Alexandria Real Estate Equities,ARE,Real Estate,Office REITs
Align Technology,ALGN,Health Care,Health Care Supplies
Allegion,ALLE,Industrials,Building Products
Allegro MicroSystems,ALGM,Information Technology,unknown
Alliant Energy,LNT,Utilities,Electric Utilities
Allison Transmission,ALSN,Industrials,unknown
Allstate,ALL,Financials,Property & Casualty Insurance
Ally Financial,ALLY,Financials,unknown
Alnylam Pharmaceuticals,ALNY,Health Care,unknown
Alphabet (Class A),GOOGL,Communication Services,Interactive Media & Services
Alphabet (Class C),GOOG,Communication Services,Interactive Media & Services
Altria,MO,Consumer Staples,Tobacco
Amazon,AMZN,Consumer Discretionary,Broadline Retail
Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
Amdocs,DOX,Information Technology,unknown
Amedisys,AMED,Health Care,Health Care Services
Amentum,AMTM,Industrials,Diversified Support Services
Amer Sports,AS,Consumer Discretionary,Leisure Products
Ameren,AEE,Utilities,Multi-Utilities
American Airlines Group,AAL,Industrials,Passenger Airlines
American Electric Power,AEP,Utilities,Electric Utilities
American Express,AXP,Financials,Consumer Finance
American Financial Group,AFG,Financials,Multi-line Insurance
American Homes 4 Rent,AMH,Real Estate,unknown
American International Group,AIG,Financials,Property & Casualty Insurance
American Tower,AMT,Real Estate,Telecom Tower REITs
American Water Works,AWK,Utilities,Water Utilities
Americold,COLD,Real Estate,unknown
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
Ametek,AME,Industrials,Electrical Components & Equipment
Amgen,AMGN,Health Care,Biotechnology
Amkor Technology,AMKR,Information Technology,Semiconductors
Amphenol,APH,Information Technology,Electronic Components
Analog Devices,ADI,Information Technology,Semiconductors
Angi Inc.,ANGI,Communication Services,Advertising
Annaly Capital Management,NLY,Financials,unknown
Ansys,ANSS,Information Technology,Application Software
Antero Midstream,AM,Energy,unknown
Antero Resources,AR,Energy,unknown
AON,AON,Financials,Insurance Brokers
APA Corporation,APA,Energy,Oil & Gas Exploration & Production
APi Group,APG,Industrials,Construction & Engineering
Apellis Pharmaceuticals,APLS,Health Care,Biotechnology
Apollo Global Management,APO,Financials,Asset Management & Custody Banks
AppFolio,APPF,Information Technology,Application Software
Apple Inc.,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
Applied Materials,AMAT,Information Technology,Semiconductor Materials & Equipment
AppLovin,APP,Information Technology,Application Software
AptarGroup,ATR,Materials,"Metal, Glass & Plastic Containers"
Aptiv,APTV,Consumer Discretionary,Automotive Parts & Equipment
Aramark,ARMK,Consumer Discretionary,unknown
Arch Capital Group,ACGL,Financials,Reinsurance
Archer Daniels Midland,ADM,Consumer Staples,Agricultural Products & Services
Ares Management,ARES,Financials,unknown
Arista Networks,ANET,Information Technology,Communications Equipment
Armstrong World Industries,AWI,Industrials,unknown
Arrow Electronics,ARW,Information Technology,Technology Distributors
Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers
Ashland Global,ASH,Materials,Diversified Chemicals
Assurant,AIZ,Financials,Multi-line Insurance
Assured Guaranty,AGO,Financials,unknown
Astera Labs,ALAB,Information Technology,Semiconductors
AT&T,T,Communication Services,Integrated Telecommunication Services
ATI Inc.,ATI,Industrials,Aerospace & Defense
Atlassian,TEAM,Information Technology,Application Software
Atmos Energy,ATO,Utilities,Gas Utilities
Autodesk,ADSK,Information Technology,Application Software
Automatic Data Processing,ADP,Industrials,Human Resource & Employment Services
AutoNation,AN,Consumer Discretionary,Automotive Retail
AutoZone,AZO,Consumer Discretionary,Automotive Retail
AvalonBay Communities,AVB,Real Estate,Residential REITs
Avantor,AVTR,Health Care,unknown
Avery Dennison,AVY,Materials,Paper & Plastic Packaging Products & Materials
Avis Budget Group,CAR,Industrials,Passenger Ground Transportation
Avnet,AVT,Information Technology,Technology Distributors
Axalta,AXTA,Materials,unknown
AXIS Capital,AXS,Financials,unknown
Axon Enterprise,AXON,Industrials,Aerospace & Defense
Azek,AZEK,Industrials,unknown
Azenta,AZTA,Health Care,Life Sciences Tools & Services
Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
Ball Corporation,BALL,Materials,"Metal, Glass & Plastic Containers"
Bank of America,BAC,Financials,Diversified Banks
Bank OZK,OZK,Financials,Regional Banks
"Bath & Body Works, Inc.",BBWI,Consumer Discretionary,Other Specialty Retail
Baxter International,BAX,Health Care,Health Care Equipment
Becton Dickinson,BDX,Health Care,Health Care Equipment
BellRing Brands,BRBR,Consumer Staples,Packaged Foods & Meats
Bentley Systems,BSY,Information Technology,unknown
Berkshire Hathaway,BRK.B,Financials,Multi-Sector Holdings
Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail
Bill.com,BILL,Information Technology,unknown
Bio-Rad Laboratories,BIO,Health Care,Life Sciences Tools & Services
Bio-Techne,TECH,Health Care,Life Sciences Tools & Services
Biogen,BIIB,Health Care,Biotechnology
BioMarin Pharmaceutical,BMRN,Health Care,unknown
Birkenstock,BIRK,Consumer Discretionary,Footwear
BJ's Wholesale Club,BJ,Consumer Staples,Hypermarkets & Super Centers
BlackRock,BLK,Financials,Asset Management & Custody Banks
Blackstone Inc.,BX,Financials,Asset Management & Custody Banks
H&R Block,HRB,Consumer Discretionary,Specialized Consumer Services
"Block, Inc.",XYZ,Financials,Transaction & Payment Processing Services
Blue Owl Capital,OWL,Financials,unknown
BNY Mellon,BK,Financials,Asset Management & Custody Banks
Boeing,BA,Industrials,Aerospace & Defense
BOK Financial Corporation,BOKF,Financials,unknown
Booking Holdings,BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Booz Allen Hamilton,BAH,Industrials,unknown
BorgWarner,BWA,Consumer Discretionary,Automotive Parts & Equipment
Boston Beer Company,SAM,Consumer Staples,Brewers
Boston Scientific,BSX,Health Care,Health Care Equipment
Boyd Gaming,BYD,Consumer Discretionary,Casinos & Gaming
Bright Horizons,BFAM,Consumer Discretionary,unknown
Brighthouse Financial,BHF,Financials,Life & Health Insurance
Bristol Myers Squibb,BMY,Health Care,Health Care Distributors
Brixmor Property Group,BRX,Real Estate,Retail REITs
Broadcom,AVGO,Information Technology,Semiconductors
Broadridge Financial Solutions,BR,Industrials,Data Processing & Outsourced Services
Brookfield Renewable Partners,BEPC,Utilities,unknown
Brown & Brown,BRO,Financials,Insurance Brokers
Brown–Forman (Class A),BF.A,Consumer Staples,Distillers & Vintners
Brown–Forman (Class B),BF.B,Consumer Staples,Distillers & Vintners
Bruker,BRKR,Health Care,Health Care Equipment
Brunswick Corporation,BC,Consumer Discretionary,Leisure Products
Builders FirstSource,BLDR,Industrials,Building Products
Bunge Global,BG,Consumer Staples,Agricultural Products & Services
Burlington Stores,BURL,Consumer Discretionary,unknown
BWX Technologies,BWXT,Industrials,unknown
"BXP, Inc.",BXP,Real Estate,Office REITs
C.H. Robinson,CHRW,Industrials,Air Freight & Logistics
CACI,CACI,Industrials,Diversified Support Services
Cadence Design Systems,CDNS,Information Technology,Application Software
Caesars Entertainment,CZR,Consumer Discretionary,Casinos & Gaming
Camden Property Trust,CPT,Real Estate,Residential REITs
Campbell Soup Company,CPB,Consumer Staples,Packaged Foods & Meats
Capital One,COF,Financials,Consumer Finance
Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Cardinal Health,CAH,Health Care,Health Care Distributors
Carlisle Companies,CSL,Industrials,Industrial Conglomerates
Carlyle Group (The),CG,Financials,unknown
CarMax,KMX,Consumer Discretionary,Automotive Retail
Carnival Corporation & plc,CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Carrier Global,CARR,Industrials,Building Products
Carter's,CRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Carvana,CVNA,Consumer Discretionary,Automotive Retail
Casey's,CASY,Consumer Staples,Food Retail
Caterpillar Inc.,CAT,Industrials,Construction Machinery & Heavy Transportation Equipment
Cava Group,CAVA,Consumer Discretionary,Restaurants
Cboe Global Markets,CBOE,Financials,Financial Exchanges & Data
CBRE Group,CBRE,Real Estate,Real Estate Services
CCC Intelligent Solutions,CCCS,Information Technology,unknown
CDW,CDW,Information Technology,Technology Distributors
Celanese,CE,Materials,Specialty Chemicals
Celsius Holdings,CELH,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Cencora,COR,Health Care,Health Care Distributors
Centene,CNC,Health Care,Managed Health Care
Centerpoint Energy,CNP,Utilities,Multi-Utilities
"Certara, Inc.",CERT,Health Care,unknown
CF Industries,CF,Materials,Fertilizers & Agricultural Chemicals
Charles River Laboratories,CRL,Health Care,Life Sciences Tools & Services
Charles Schwab Corporation,SCHW,Financials,Investment Banking & Brokerage
Charter Communications,CHTR,Communication Services,Cable & Satellite
Chemed Corporation,CHE,Health Care,Health Care Services
Chemours,CC,Materials,Diversified Chemicals
Cheniere Energy,LNG,Energy,unknown
Chevron Corporation,CVX,Energy,Integrated Oil & Gas
Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants
Choice Hotels,CHH,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
Chord Energy,CHRD,Energy,Oil & Gas Exploration & Production
Chubb Limited,CB,Financials,Property & Casualty Insurance
Church & Dwight,CHD,Consumer Staples,Household Products
Churchill Downs Incorporated,CHDN,Consumer Discretionary,Casinos & Gaming
Ciena,CIEN,Information Technology,Communications Equipment
Cigna,CI,Health Care,Managed Health Care
Cincinnati Financial,CINF,Financials,Property & Casualty Insurance
Cintas,CTAS,Industrials,Diversified Support Services
Cirrus Logic,CRUS,Information Technology,Semiconductors
Cisco,CSCO,Information Technology,Communications Equipment
Citigroup,C,Financials,Diversified Banks
Citizens Financial Group,CFG,Financials,Regional Banks
Civitas Resources,CIVI,Energy,Oil & Gas Exploration & Production
Clarivate,CLVT,Industrials,unknown
Clean Harbors,CLH,Industrials,Environmental & Facilities Services
Clearway Energy (Class A),CWEN.A,Utilities,unknown
Clearway Energy (Class C),CWEN,Utilities,unknown
Cleveland-Cliffs,CLF,Materials,Steel
Clorox,CLX,Consumer Staples,Household Products
Cloudflare,NET,Information Technology,unknown
CME Group,CME,Financials,Financial Exchanges & Data
CMS Energy,CMS,Utilities,Multi-Utilities
CNA Financial,CNA,Financials,unknown
CNH Industrial,CNH,Industrials,unknown
Coca-Cola Company (The),KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Coca-Cola Consolidated,COKE,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
Cognex Corporation,CGNX,Information Technology,Electronic Equipment & Instruments
Cognizant,CTSH,Information Technology,IT Consulting & Other Services
Coherent Corp.,COHR,Information Technology,Electronic Components
Coinbase,COIN,Financials,unknown
Colgate-Palmolive,CL,Consumer Staples,Household Products
Columbia Banking System,COLB,Financials,Regional Banks
Columbia Sportswear,COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Comcast,CMCSA,Communication Services,Cable & Satellite
Comerica,CMA,Financials,Diversified Banks
Comfort Systems USA,FIX,Industrials,Construction & Engineering
Commerce Bancshares,CBSH,Financials,Regional Banks
Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats
Concentrix,CNXC,Information Technology,Data Processing & Outsourced Services
"Confluent, Inc.",CFLT,Information Technology,unknown
ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production
Consolidated Edison,ED,Utilities,Electric Utilities
Constellation Brands,STZ,Consumer Staples,Distillers & Vintners
Constellation Energy,CEG,Utilities,Multi-Utilities
Cooper Companies (The),COO,Health Care,Health Care Supplies
Copart,CPRT,Industrials,Diversified Support Services
Core & Main,CNM,Industrials,unknown
Corning Inc.,GLW,Information Technology,Electronic Components
Corpay,CPAY,Financials,Transaction & Payment Processing Services
Corteva,CTVA,Materials,Fertilizers & Agricultural Chemicals
CoStar Group,CSGP,Industrials,Real Estate Services
Costco,COST,Consumer Staples,Consumer Staples Merchandise Retail
Coterra,CTRA,Energy,Oil & Gas Exploration & Production
Coty,COTY,Consumer Staples,Personal Care Products
Coupang,CPNG,Consumer Discretionary,unknown
Cousins Properties,CUZ,Real Estate,Office REITs
Crane Co.,CR,Industrials,Industrial Machinery & Supplies & Components
Crane NXT,CXT,Industrials,Industrial Machinery & Supplies & Components
Credit Acceptance,CACC,Financials,unknown
CRH plc,CRH,Materials,Construction Materials
Crocs,CROX,Consumer Discretionary,Footwear
CrowdStrike,CRWD,Information Technology,Application Software
Crown Castle,CCI,Real Estate,Telecom Tower REITs
Crown Holdings,CCK,Materials,unknown
CSX Corporation,CSX,Industrials,Rail Transportation
CubeSmart,CUBE,Real Estate,unknown
Cummins,CMI,Industrials,Industrial Machinery & Supplies & Components
Curtiss-Wright,CW,Industrials,Aerospace & Defense
CVS Health,CVS,Health Care,Health Care Services
D. R. Horton,DHI,Consumer Discretionary,Homebuilding
Danaher Corporation,DHR,Health Care,Life Sciences Tools & Services
Darden Restaurants,DRI,Consumer Discretionary,Restaurants
Darling Ingredients,DAR,Consumer Staples,unknown
Datadog,DDOG,Information Technology,Application Software
DaVita,DVA,Health Care,Health Care Facilities
Dayforce,DAY,Industrials,Human Resource & Employment Services
Deckers Brands,DECK,Consumer Discretionary,Footwear
Deere & Company,DE,Industrials,Agricultural & Farm Machinery
Delta Air Lines,DAL,Industrials,Passenger Airlines
Dell Technologies,DELL,Information Technology,"Technology Hardware, Storage & Peripherals"
Dentsply Sirona,XRAY,Health Care,Health Care Supplies
Devon Energy,DVN,Energy,Oil & Gas Exploration & Production
Dexcom,DXCM,Health Care,Health Care Equipment
Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production
Dick's Sporting Goods,DKS,Consumer Discretionary,Other Specialty Retail
Digital Realty,DLR,Real Estate,Data Center REITs
Dillard's,DDS,Consumer Discretionary,Broadline Retail
DocuSign,DOCU,Information Technology,Application Software
Dolby Laboratories,DLB,Information Technology,unknown
Dollar General,DG,Consumer Staples,Consumer Staples Merchandise Retail
Dollar Tree,DLTR,Consumer Staples,Consumer Staples Merchandise Retail
Dominion Energy,D,Utilities,Electric Utilities
Domino's,DPZ,Consumer Discretionary,Restaurants
Donaldson Company,DCI,Industrials,Industrial Machinery & Supplies & Components
DoorDash,DASH,Consumer Discretionary,Interactive Media & Services
DoubleVerify,DV,Information Technology,unknown
Dover Corporation,DOV,Industrials,Industrial Machinery & Supplies & Components
Dow Inc.,DOW,Materials,Commodity Chemicals
Doximity,DOCS,Health Care,unknown
DraftKings,DKNG,Consumer Discretionary,unknown
Dropbox,DBX,Information Technology,unknown
DT Midstream,DTM,Energy,unknown
DTE Energy,DTE,Utilities,Multi-Utilities
Duke Energy,DUK,Utilities,Electric Utilities
Dun & Bradstreet,DNB,Industrials,unknown
Duolingo,DUOL,Consumer Discretionary,Education Services
DuPont,DD,Materials,Specialty Chemicals
Dutch Bros. Coffee,BROS,Consumer Discretionary,Restaurants
DXC Technology,DXC,Information Technology,IT Consulting & Other Services
Dynatrace,DT,Information Technology,unknown
e.l.f. Beauty,ELF,Consumer Staples,Personal Care Products
Eagle Materials,EXP,Materials,Construction Materials
East West Bancorp,EWBC,Financials,Regional Banks
EastGroup Properties,EGP,Real Estate,unknown
Eastman Chemical Company,EMN,Materials,Diversified Chemicals
Eaton Corporation,ETN,Industrials,Electrical Components & Equipment
eBay,EBAY,Consumer Discretionary,Broadline Retail
Ecolab,ECL,Materials,Specialty Chemicals
Edison International,EIX,Utilities,Electric Utilities
Edwards Lifesciences,EW,Health Care,Health Care Equipment
Elanco,ELAN,Health Care,unknown
Elastic NV,ESTC,Information Technology,unknown
Electronic Arts,EA,Communication Services,Interactive Home Entertainment
Element Solutions,ESI,Materials,unknown
Elevance Health,ELV,Health Care,Managed Health Care
Emcor,EME,Industrials,Construction & Engineering
Emerson Electric,EMR,Industrials,Electrical Components & Equipment
Encompass Health,EHC,Health Care,Health Care Facilities
Enovis,ENOV,Health Care,Health Care Equipment
Enphase Energy,ENPH,Information Technology,Electronic Components
Entegris,ENTG,Information Technology,unknown
Entergy,ETR,Utilities,Electric Utilities
Envista,NVST,Health Care,Health Care Supplies
EOG Resources,EOG,Energy,Oil & Gas Exploration & Production
EPAM Systems,EPAM,Information Technology,IT Consulting & Other Services
EPR Properties,EPR,Real Estate,Other Specialized REITs
EQT Corporation,EQT,Energy,Oil & Gas Exploration & Production
Equifax,EFX,Industrials,Research & Consulting Services
Equinix,EQIX,Real Estate,Data Center REITs
Equitable Holdings,EQH,Financials,unknown
