Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK
FBP,First BanCorp (Puerto Rico),Financials,Regional Banks,"San Juan, Puerto Rico",1057706
FBRT,"Franklin BSP Realty Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",1562528
FCF,"First Commonwealth Financial, Corp.",Financials,Regional Banks,"Indiana, Pennsylvania",712537
FCPT,"Four Corners Property Trust, Inc.",Real Estate,Specialized REITs,"Mill Valley, California",1650132
FDP,"Fresh Del Monte Produce, Inc.",Consumer Staples,Packaged Foods & Meats,"Coral Gables, Florida",1047340
FELE,Franklin Electric,Industrials,Industrial Machinery,"Fort Wayne, Indiana",38725
FFBC,First Financial Bancorp.,Financials,Regional Banks,"Cincinnati, Ohio",708955
FHB,"First Hawaiian, Inc.",Financials,Regional Banks,"Honolulu, Hawaii",36377
FIZZ,National Beverage Corp.,Consumer Staples,Soft Drinks,"Fort Lauderdale, Florida",69891
FL,Foot Locker,Consumer Discretionary,Apparel Retail,"New York City, New York",850209
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",37785
FORM,"FormFactor, Inc.",Information Technology,Semiconductor Equipment,"Livermore, California",1039399
FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment,"Duluth, Georgia",1424929
FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats,"Bedminster, New Jersey",1611647
FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Trucks,"Oak Brook, Illinois",277509
FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,"Memphis, Tennessee",1727263
FTRE,Fortrea,Health Care,Biotechnology,"Durham, North Carolina",1965040
FUL,H.B. Fuller Company,Materials,Specialty Chemicals,"Vadnais Heights, Minnesota",39368
FULT,Fulton Financial Corporation,Financials,Regional Banks,"Lancaster, Pennsylvania",700564
FUN,Six Flags,Consumer Discretionary,Leisure Facilities,"Charlotte, North Carolina",1999001
FWRD,Forward Air Corp.,Industrials,Air Freight & Logistics,"Greeneville, Tennessee",912728
GBX,"The Greenbrier Companies, Inc.",Industrials,Construction Machinery & Heavy Trucks,"Lake Oswego, Oregon",923120
GDEN,Golden Entertainment,Consumer Discretionary,Casinos & Gaming,"Enterprise, Nevada",1071255
GDYN,"Grid Dynamics Holdings, Inc.",Information Technology,IT Consulting & Other Services,"San Ramon, California",1743725
GEO,"GEO Group, Inc.",Industrials,Environmental & Facilities Services,"Boca Raton, Florida",923796
GES,"Guess, Inc.",Consumer Discretionary,Apparel Retail,"Los Angeles, California",912463
GFF,Griffon Corporation,Industrials,Building Products,"New York City, New York",50725
GIII,"G-III Apparel Group, Ltd.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",821002
GKOS,Glaukos Corp.,Health Care,Health Care Equipment,"San Clemente, California",1192448
GMS,"GMS, Inc.",Industrials,Building Products,"Tucker, Georgia",1600438
GNL,"Global Net Lease, Inc.",Real Estate,Diversified REITs,"New York City, New York",1526113
GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance,"Henrico County, Virginia",1276520
GO,Grocery Outlet,Consumer Staples,Food Retail,"Emeryville, California",1771515
GOGO,"Gogo, Inc.",Communication Services,Wireless Telecommunication Services,"Broomfield, Colorado",1537054
GOLF,Acushnet Company,Consumer Discretionary,Leisure Products,"Fairhaven, Massachusetts",1672013
GPI,"Group 1 Automotive, Inc.",Consumer Discretionary,Automotive Retail,"Houston, Texas",1031203
GRBK,"Green Brick Partners, Inc.",Consumer Discretionary,Homebuilding,"Plano, Texas",1373670
GSHD,"Goosehead Insurance, Inc.",Financials,Insurance Brokers,"Westlake, Texas",1726978
GTES,Gates Corporation,Industrials,Industrial Machinery & Supplies & Components,"Denver, Colorado",1718512
GTY,Getty Realty Corp.,Real Estate,Retail REITs,"New York City, New York",1052752
GVA,"Granite Construction, Inc.",Industrials,Construction & Engineering,"Watsonville, California",861459
HAFC,Hanmi Financial Corporation,Financials,Regional Banks,"Los Angeles, California",1109242
HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",Financials,Specialized Finance,"Annapolis, Maryland",1561894
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Components & Equipment,"Charlotte, North Carolina",1834622
HBI,"Hanesbrands, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",1359841
HCC,"Warrior Met Coal, Inc.",Materials,Steel,"Brookwood, Alabama",1691303
HCI,"HCI Group, Inc.",Financials,Property & Casualty Insurance,"Tampa, Florida",1400810
HCSG,"Healthcare Services Group, Inc.",Industrials,Environmental & Facilities Services,"Bensalem Township, Pennsylvania",731012
HELE,Helen of Troy Limited,Consumer Discretionary,Household Appliances,"Hamilton, Bermuda",916789
HFWA,Heritage Financial Corporation,Health Care,Regional Banks,"Olympia, Washington",1046025
HI,"Hillenbrand, Inc.",Industrials,Industrial Machinery,"Batesville, Indiana",1417398
HIW,Highwoods Properties],Real Estate,Office REITs,"Raleigh, North Carolina",921082
HLIT,Harmonic Inc.,Information Technology,Communications Equipment,"San Jose, California",851310
HLX,"Helix Energy Solutions Group, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",866829
HMN,Horace Mann Educators Corporation,Financials,Multi-line Insurance,"Springfield, Illinois",850141
HNI,HNI Corporation,Industrials,Office Services & Supplies,"Muscatine, Iowa",48287
HOPE,"Hope Bancorp, Inc.",Financials,Regional Banks,"Koreatown, Los Angeles",1128361
HP,"Helmerich & Payne, Inc.",Energy,Oil & Gas Drilling,"Tulsa, Oklahoma",46765
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,"Plymouth Meeting, Pennsylvania",1802665
HSII,"Heidrick & Struggles International, Inc.",Industrials,Human Resource & Employment Services,"Chicago, Illinois",1066605
HSTM,"HealthStream, Inc.",Health Care,Health Care Technology,"Nashville, Tennessee",1095565
HTH,Hilltop Holdings Inc.,Financials,Regional Banks,"Dallas, Texas",1265131
HTLD,"Heartland Express, Inc.",Industrials,Cargo Ground Transportation,"North Liberty, Iowa",799233
HTZ,Hertz,Industrials,Passenger Ground Transportation,"Estero, Florida",1657853
HUBG,"Hub Group, Inc.",Industrials,Air Freight & Logistics,"Oak Brook, Illinois",940942
HWKN,"Hawkins, Inc.",Materials,Commodity Chemicals,"Roseville, Minnesota",46250
HZO,"MarineMax, Inc.",Consumer Discretionary,Specialty Stores,"Clearwater, Florida",1057060
IAC,IAC Inc.,Communication Services,Publishing,"New York City, New York",1800227
IART,Integra Lifesciences Holdings,Health Care,Health Care Equipment,"Princeton, New Jersey",917520
IBP,"Installed Building Products, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",1580905
ICHR,"Ichor Holdings, Ltd.",Information Technology,Semiconductor Equipment,"Fremont, California",1652535
ICUI,ICU Medical,Health Care,Health Care Supplies,"San Clemente, California",883984
IDCC,"InterDigital, Inc.",Information Technology,Communications Equipment,"Wilmington, Delaware",1405495
IIIN,"Insteel Industries, Inc.",Industrials,Building Products,"Mount Airy, North Carolina",764401
IIPR,"Innovative Industrial Properties, Inc.",Real Estate,Industrial REITs,"Park City, Utah",1677576
INDB,Independent Bank Corp.,Financials,Regional Banks,"Rockland, Massachusetts",776901
INN,"Summit Hotel Properties, Inc.",Real Estate,Hotel & Resort REITs,"Austin, Texas",1497645
INSP,"Inspire Medical Systems, Inc.",Health Care,Health Care Equipment,"Golden Valley, Minnesota",1609550
INSW,"International Seaways, Inc.",Energy,Oil & Gas Storage & Transportation,"New York City, New York",1679049
INVA,"Innoviva, Inc.",Health Care,Pharmaceuticals,"Burlingame, California",1080014
IOSP,"Innospec, Inc.",Materials,Specialty Chemicals,"Englewood, Colorado",1054905
IPAR,"Inter Parfums, Inc.",Consumer Staples,Personal Products,"New York City, New York",822663
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment,"Plano, Texas",1114483
ITRI,"Itron, Inc.",Information Technology,Electronic Equipment & Instruments,"Liberty Lake, Washington",780571
JACK,Jack in the Box,Consumer Discretionary,Restaurants,"San Diego, California",807882
JBGS,JBG Smith,Real Estate,Office REITs,"Bethesda, Maryland",1689796
JBLU,JetBlue,Industrials,Passenger Airlines,"Long Island City, New York",1158463
JBSS,"John B. Sanfilippo & Son, Inc.",Consumer Staples,Packaged Foods & Meats,"Elgin, Illinois",880117
JBT,John Bean Technologies Corporation,Industrials,Industrial Machinery,"Chicago, Illinois",1433660
JJSF,J&J Snack Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Pennsauken Township, New Jersey",785956
JOE,St. Joe Company,Real Estate,Real Estate Development,"Panama City Beach, Florida",745308
JXN,"Jackson Financial, Inc.",Financials,Life & Health Insurance,"Lansing, Michigan",1822993
KAI,Kadant Inc.,Industrials,Industrial Machinery & Supplies & Components,"Westford, Massachusetts",886346
KALU,Kaiser Aluminum Corporation,Materials,Aluminum,"Franklin, Tennessee",811596
KAR,"OPENLANE, Inc.",Industrials,Diversified Support Services,"Carmel, Indiana",1395942
KFY,Korn/Ferry International,Industrials,Human Resource & Employment Services,"Los Angeles, California",56679
KLG,WK Kellogg Co,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1959348
KLIC,"Kulicke and Soffa Industries, Inc.",Information Technology,Semiconductor Equipment,"Serangoon, North-East Region, Singapore",56978
KMT,Kennametal,Industrials,Industrial Machinery,"Pittsburgh, Pennsylvania",55242
KN,Knowles Corporation,Information Technology,Electronic Components,"Itasca, Illinois",1587523
KOP,"Koppers Holdings, Inc.",Materials,Commodity Chemicals,"Pittsburgh, Pennsylvania",1315257
KREF,"KKR Real Estate Finance Trust, Inc.",Financials,Mortgage REITs,"New York City, New York",1631596
KRYS,"Krystal Biotech, Inc.",Health Care,Biotechnology,"Pittsburgh, Pennsylvania",1711279
KSS,Kohl's Corp.,Consumer Discretionary,Broadline Retail,"Menomonee Falls, Wisconsin",885639
KTB,Kontoor Brands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",1760965
KTOS,Kratos Defense & Security Solutions,Industrials,Aerospace & Defense,"San Diego, California",1069258
KW,"Kennedy-Wilson Holdings, Inc.",Real Estate,Real Estate Services,"Beverly Hills, California",1408100
KWR,Quaker Chemical Corporation,Materials,Specialty Chemicals,"Conshohocken, Pennsylvania",81362
LBRT,"Liberty Energy, Inc.",Energy,Oil & Gas Equipment & Services,"Denver, Colorado",1694028
LCII,LCI Industries,Consumer Discretionary,Auto Parts & Equipment,"Elkhart, Indiana",763744
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",58492
LGIH,LGI Homes,Consumer Discretionary,Homebuilding,"The Woodlands, Texas",1580670
LGND,"Ligand Pharmaceuticals, Inc.",Health Care,Biotechnology,"San Diego, California",886163
LKFN,Lakeland Financial,Financials,Regional Banks,"Warsaw, Indiana",721994
LMAT,LeMaitre Vascular,Health Care,Health Care Equipment,"Burlington, Massachusetts",1158895
LNC,Lincoln Financial,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558
LNN,Lindsay Corporation,Materials,Agricultural & Farm Machinery,"Omaha, Nebraska",836157
LPG,Dorian LPG Ltd.,Energy,Oil & Gas Storage & Transportation,"Stamford, Connecticut",1596993
LQDT,"Liquidity Services, Inc.",Industrials,Diversified Support Services,"Bethesda, Maryland",1235468
LRN,"Stride, Inc.",Consumer Discretionary,Education Services,"Herndon, Virginia",1157408
LTC,"LTC Properties, Inc.",Real Estate,Health Care REITs,"Westlake Village, California",887905
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,"Monroe, Louisiana",18926
LXP,Lexington Realty Trust,Real Estate,Diversified REITs,"New York City, New York",910108
LZB,"La-Z-Boy, Inc.",Consumer Discretionary,Home Furnishings,"Monroe, Michigan",57131
MAC,Macerich,Real Estate,Retail REITs,"Santa Monica, California",912242
MARA,"MARA Holdings, Inc.",Information Technology,Internet Services & Infrastructure,"Fort Lauderdale, Florida",1507605
MATW,Matthews International Corporation,Consumer Discretionary,Specialized Consumer Services,"Pittsburgh, Pennsylvania",63296
MATX,"Matson, Inc.",Industrials,Marine,"Honolulu, Hawaii",3453
MBC,"MasterBrand, Inc.",Industrials,Building Products,"Jasper, Indiana",1941365
MC,Moelis & Company,Financials,Investment Banking & Brokerage,"New York City, New York",1596967
MCRI,"Monarch Casino & Resort, Inc.",Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",907242
MCW,"Mister Car Wash, Inc.",Consumer Discretionary,Specialized Consumer Services,"Tucson, Arizona",1853513
MCY,Mercury General,Financials,Property & Casualty Insurance,"Los Angeles, California",64996
MD,Pediatrix Medical Group,Health Care,Health Care Services,"Sunrise, Florida",893949
MDU,"MDU Resources Group, Inc.",Utilities,Multi-Utilities,"Bismarck, North Dakota",67716
MGEE,"MGE Energy, Inc.",Utilities,Electric Utilities,"Madison, Wisconsin",1161728
MGPI,"MGP Ingredients, Inc.",Consumer Staples,Distillers & Vintners,"Atchison, Kansas",835011
MGY,"Magnolia Oil & Gas, Corp.",Energy,Oil & Gas Exploration & Production,"Houston, Texas",1698990
MHO,"M/I Homes, Inc.",Consumer Discretionary,Homebuilding,"Columbus, Ohio",799292
MLAB,Mesa Laboratories Inc,Health Care,Health Care Equipment,"Lakewood, Colorado",724004
MLKN,"MillerKnoll, Inc.",Industrials,Office Services & Supplies,"Zeeland, Michigan",66382
MMI,"Marcus & Millichap, Inc.",Real Estate,Real Estate Services,"Calabasas, California",1578732
MMSI,"Merit Medical Systems, Inc.",Health Care,Health Care Supplies,"South Jordan, Utah",856982
MNRO,"Monro, Inc.",Consumer Discretionary,Automotive Retail,"Rochester, New York",876427
MODG,Topgolf Callaway Brands,Consumer Discretionary,Leisure Products,"Carlsbad, California",837465
MOG.A,Moog Inc.,Industrials,Aerospace & Defense,"Elma, New York",67887
MP,MP Materials,Materials,Diversified Metals & Mining,"Las Vegas, Nevada",1801368
MPW,Medical Properties Trust,Real Estate,Health Care REITs,"Birmingham, Alabama",1287865
MRCY,Mercury Systems,Industrials,Electrical Components & Equipment,"Andover, Massachusetts",1049521
MRP,"Millrose Properties, Inc.",Real Estate,Single-Family Residential REITs,"Chevy Chase, Maryland",2017206
MRTN,Marten Transport Ltd.,Industrials,Cargo Ground Transportation,"Mondovi, Wisconsin",799167
MSEX,Middlesex Water Company,Utilities,Water Utilities,"Iselin, New Jersey",66004
MSGS,Madison Square Garden Sports Corp.,Communication Services,Movies & Entertainment,"New York City, New York",1636519
MTH,Meritage Homes Corporation,Consumer Discretionary,Homebuilding,"Scottsdale, Arizona",833079
MTRN,Materion Corp.,Materials,Diversified Metals & Mining,"Mayfield Heights, Ohio",1104657
MTUS,Metallus Inc,Materials,Steel,"Canton, Ohio",1598428
MTX,Minerals Technologies,Materials,Specialty Chemicals,"New York City, New York",891014
MWA,Mueller Water Products,Industrials,Industrial Machinery & Supplies & Components,"Atlanta, Georgia",1350593
MXL,"MaxLinear, Inc.",Information Technology,Semiconductors,"Carlsbad, California",1288469
MYGN,"Myriad Genetics, Inc.",Health Care,Biotechnology,"Salt Lake City, Utah",899923
MYRG,"MYR Group, Inc.",Industrials,Construction & Engineering,"Thornton, Colorado",700923
NABL,"N-able, Inc.",Information Technology,Systems Software,"Wilmington, Delaware",1834488
NATL,NCR Atleos,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",1974138
NAVI,Navient,Financials,Consumer Finance,"Wilmington, Delaware",1593538
NBHC,National Bank Holdings Corporation,Financials,Regional Banks,"Greenwood Village, Colorado",1475841
NBTB,"NBT Bancorp, Inc.",Financials,Regional Banks,"Norwich, New York",790359
NEO,"NeoGenomics Laboratories, Inc.",Health Care,Health Care Services,"Fort Myers, Florida",1077183
NEOG,Neogen,Health Care,Health Care Supplies,"Lansing, Michigan",711377
NGVT,"Ingevity, Corp.",Materials,Specialty Chemicals,"North Charleston, South Carolina",1653477
NHC,"National Healthcare, Corp.",Health Care,Health Care Facilities,"Murfreesboro, Tennessee",1047335
NMIH,"NMI Holdings, Inc.",Financials,Commercial & Residential Mortgage Finance,"Emeryville, California",1547903
NOG,"Northern Oil and Gas, Inc.",Energy,Oil & Gas Exploration & Production,"Minnetonka, Minnesota",1104485
NPK,"National Presto Industries, Inc.",Industrials,Aerospace & Defense,"Eau Claire, Wisconsin",80172
NPO,"EnPro Industries, Inc.",Industrials,Industrial Machinery,"Charlotte, North Carolina",1164863
NSIT,"Insight Enterprises, Inc.",Industrials,Technology Distributors,"Tempe, Arizona",932696
NTCT,"NETSCOUT Systems, Inc.",Information Technology,Communications Equipment,"Westford, Massachusetts",1078075
NVEE,NV5 Global,Industrials,Construction & Engineering,"Hollywood, Florida",1532961
NVRI,Enviri Corporation,Industrials,Industrial Machinery,"Philadelphia, Pennsylvania",45876
NWBI,"Northwest Bancshares, Inc.",Financials,Regional Banks,"Warren, Pennsylvania",1471265
NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",814453
NWN,NW Natural,Utilities,Gas Utilities,"Portland, Oregon",1733998
NX,Quanex Building Products Corporation,Industrials,Building Products,"Houston, Texas",1423221
NXRT,"NexPoint Residential Trust, Inc.",Real Estate,Multi-Family Residential REITs,"Dallas, Texas",1620393
NYMT,"New York Mortgage Trust, Inc.",Real Estate,Mortgage REITs,"New York City, New York",1273685
OFG,OFG Bancorp,Financials,Regional Banks,"San Juan, Puerto Rico",1030469
OGN,Organon & Co.,Health Care,Pharmaceuticals,"Jersey City, New Jersey",1821825
OI,"O-I Glass, Inc.",Materials,Metal & Glass Containers,"Perrysburg, Ohio",812074
OII,"Oceaneering International, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",73756
OMCL,Omnicell,Health Care,Health Care Technology,"Fort Worth, Texas",926326
OMI,"Owens & Minor, Inc.",Health Care,Health Care Distributors,"Mechanicsville, Virginia",75252
OSIS,"OSI Systems, Inc.",Information Technology,Electronic Equipment & Instruments,"Hawthorne, California",1039065
OTTR,Otter Tail Corporation,Utilities,Electric Utilities,"Fergus Falls, Minnesota",1466593
OUT,Outfront Media,Real Estate,Other Specialized REITs,"New York City, New York",1579877
OXM,"Oxford Industries, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Atlanta, Georgia",75288
PAHC,Phibro Animal Health,Health Care,Pharmaceuticals,"Teaneck, New Jersey",1069899
PARR,"Par Pacific Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,"Houston, Texas",821483
PAYO,Payoneer Global Inc.,Financials,Transaction & Payment Processing Services,"New York City, New York",1845815
PATK,"Patrick Industries, Inc.",Consumer Discretionary,Auto Parts & Equipment,"Elkhart, Indiana",76605
PBH,Prestige Consumer Healthcare,Health Care,Pharmaceuticals,"Tarrytown, New York",1295947
PBI,"Pitney Bowes, Inc.",Industrials,Office Services & Supplies,"Stamford, Connecticut",78814
